Year,Indicator,Value
1992,"Electricity production from oil, gas and coal sources (% of total)",60.8040201005025
1993,"Electricity production from oil, gas and coal sources (% of total)",59.7539410813048
1994,"Electricity production from oil, gas and coal sources (% of total)",60.0446501854953
1995,"Electricity production from oil, gas and coal sources (% of total)",63.1787566311021
1996,"Electricity production from oil, gas and coal sources (% of total)",63.1024055357289
1997,"Electricity production from oil, gas and coal sources (% of total)",66.565318993894
1998,"Electricity production from oil, gas and coal sources (% of total)",66.3477257428599
1999,"Electricity production from oil, gas and coal sources (% of total)",55.5078200424792
2000,"Electricity production from oil, gas and coal sources (% of total)",57.1097372488408
2001,"Electricity production from oil, gas and coal sources (% of total)",62.7077577045696
2002,"Electricity production from oil, gas and coal sources (% of total)",64.3571914911177
2003,"Electricity production from oil, gas and coal sources (% of total)",66.5810351341141
2004,"Electricity production from oil, gas and coal sources (% of total)",66.2687420698036
2005,"Electricity production from oil, gas and coal sources (% of total)",67.634840101119
2006,"Electricity production from oil, gas and coal sources (% of total)",63.9716112216685
2007,"Electricity production from oil, gas and coal sources (% of total)",68.4001274932479
2008,"Electricity production from oil, gas and coal sources (% of total)",66.0840828003486
2009,"Electricity production from oil, gas and coal sources (% of total)",67.4073117168325
2010,"Electricity production from oil, gas and coal sources (% of total)",73.6913583891825
2011,"Electricity production from oil, gas and coal sources (% of total)",71.3123048456112
2012,"Electricity production from oil, gas and coal sources (% of total)",71.5308347389641
2013,"Electricity production from oil, gas and coal sources (% of total)",73.5564531129594
2014,"Electricity production from oil, gas and coal sources (% of total)",74.359969972302
2015,"Electricity production from oil, gas and coal sources (% of total)",74.5634790627692
2016,"Electricity production from oil, gas and coal sources (% of total)",75.7932530810489
2017,"Electricity production from oil, gas and coal sources (% of total)",75.4275723217124
2018,"Electricity production from oil, gas and coal sources (% of total)",76.6178180505994
2019,"Electricity production from oil, gas and coal sources (% of total)",79.2108712667742
2020,"Electricity production from oil, gas and coal sources (% of total)",78.7627143629306
2021,"Electricity production from oil, gas and coal sources (% of total)",77.8804502033481
2022,"Electricity production from oil, gas and coal sources (% of total)",77.864861229431
2023,"Electricity production from oil, gas and coal sources (% of total)",77.864861229431
2024,"Electricity production from oil, gas and coal sources (% of total)",77.864861229431
1960,"Energy imports, net (% of energy use)",41.8727299286032
1961,"Energy imports, net (% of energy use)",41.8727299286032
1962,"Energy imports, net (% of energy use)",41.8727299286032
1963,"Energy imports, net (% of energy use)",41.8727299286032
1964,"Energy imports, net (% of energy use)",41.8727299286032
1965,"Energy imports, net (% of energy use)",41.8727299286032
1966,"Energy imports, net (% of energy use)",41.8727299286032
1967,"Energy imports, net (% of energy use)",41.8727299286032
1968,"Energy imports, net (% of energy use)",41.8727299286032
1969,"Energy imports, net (% of energy use)",41.8727299286032
1970,"Energy imports, net (% of energy use)",41.8727299286032
1971,"Energy imports, net (% of energy use)",41.8727299286032
1972,"Energy imports, net (% of energy use)",41.8727299286032
1973,"Energy imports, net (% of energy use)",41.8727299286032
1974,"Energy imports, net (% of energy use)",41.8727299286032
1975,"Energy imports, net (% of energy use)",41.8727299286032
1976,"Energy imports, net (% of energy use)",41.8727299286032
1977,"Energy imports, net (% of energy use)",41.8727299286032
1978,"Energy imports, net (% of energy use)",41.8727299286032
1979,"Energy imports, net (% of energy use)",41.8727299286032
1980,"Energy imports, net (% of energy use)",41.8727299286032
1981,"Energy imports, net (% of energy use)",41.8727299286032
1982,"Energy imports, net (% of energy use)",41.8727299286032
1983,"Energy imports, net (% of energy use)",41.8727299286032
1984,"Energy imports, net (% of energy use)",41.8727299286032
1985,"Energy imports, net (% of energy use)",41.8727299286032
1986,"Energy imports, net (% of energy use)",41.8727299286032
1987,"Energy imports, net (% of energy use)",41.8727299286032
1988,"Energy imports, net (% of energy use)",41.8727299286032
1989,"Energy imports, net (% of energy use)",41.8727299286032
1990,"Energy imports, net (% of energy use)",41.8727299286032
1991,"Energy imports, net (% of energy use)",42.467706558278
1992,"Energy imports, net (% of energy use)",47.7274468851747
1993,"Energy imports, net (% of energy use)",45.7228677615727
1994,"Energy imports, net (% of energy use)",49.7010428017978
1995,"Energy imports, net (% of energy use)",55.4102247825196
1996,"Energy imports, net (% of energy use)",55.9441837617701
1997,"Energy imports, net (% of energy use)",57.994961991597
1998,"Energy imports, net (% of energy use)",55.4763492658048
1999,"Energy imports, net (% of energy use)",51.9067932669472
2000,"Energy imports, net (% of energy use)",51.7100934098601
2001,"Energy imports, net (% of energy use)",55.5738084190364
2002,"Energy imports, net (% of energy use)",48.1602512846163
2003,"Energy imports, net (% of energy use)",47.5216491851143
2004,"Energy imports, net (% of energy use)",49.6505002404135
2005,"Energy imports, net (% of energy use)",44.7578925014601
2006,"Energy imports, net (% of energy use)",45.3420717744696
2007,"Energy imports, net (% of energy use)",43.3156332295316
2008,"Energy imports, net (% of energy use)",42.7603612865669
2009,"Energy imports, net (% of energy use)",37.4439336460678
2010,"Energy imports, net (% of energy use)",42.6253482214275
2011,"Energy imports, net (% of energy use)",41.6057341892919
2012,"Energy imports, net (% of energy use)",42.9068252162772
2013,"Energy imports, net (% of energy use)",43.9797805761775
2014,"Energy imports, net (% of energy use)",43.8392582610698
2015,"Energy imports, net (% of energy use)",49.3367264630033
2016,"Energy imports, net (% of energy use)",47.8208374406454
2017,"Energy imports, net (% of energy use)",49.8100381952249
2018,"Energy imports, net (% of energy use)",54.0743638042794
2019,"Energy imports, net (% of energy use)",48.6161448916357
2020,"Energy imports, net (% of energy use)",47.0174525151428
2021,"Energy imports, net (% of energy use)",49.9057625438824
2022,"Energy imports, net (% of energy use)",54.4250767667774
2023,"Energy imports, net (% of energy use)",54.4250767667774
2024,"Energy imports, net (% of energy use)",54.4250767667774
1960,Energy use (kg of oil equivalent per capita),397.899989197443
1961,Energy use (kg of oil equivalent per capita),397.899989197443
1962,Energy use (kg of oil equivalent per capita),397.899989197443
1963,Energy use (kg of oil equivalent per capita),397.899989197443
1964,Energy use (kg of oil equivalent per capita),397.899989197443
1965,Energy use (kg of oil equivalent per capita),397.899989197443
1966,Energy use (kg of oil equivalent per capita),397.899989197443
1967,Energy use (kg of oil equivalent per capita),397.899989197443
1968,Energy use (kg of oil equivalent per capita),397.899989197443
1969,Energy use (kg of oil equivalent per capita),397.899989197443
1970,Energy use (kg of oil equivalent per capita),397.899989197443
1971,Energy use (kg of oil equivalent per capita),397.899989197443
1972,Energy use (kg of oil equivalent per capita),391.20769700796
1973,Energy use (kg of oil equivalent per capita),426.109311703715
1974,Energy use (kg of oil equivalent per capita),418.163511105132
1975,Energy use (kg of oil equivalent per capita),433.463508051813
1976,Energy use (kg of oil equivalent per capita),442.928331542654
1977,Energy use (kg of oil equivalent per capita),449.369953030522
1978,Energy use (kg of oil equivalent per capita),444.761470587532
1979,Energy use (kg of oil equivalent per capita),458.672031037682
1980,Energy use (kg of oil equivalent per capita),466.548295365848
1981,Energy use (kg of oil equivalent per capita),456.951142676467
1982,Energy use (kg of oil equivalent per capita),456.192908010929
1983,Energy use (kg of oil equivalent per capita),481.927869194181
1984,Energy use (kg of oil equivalent per capita),421.043699346507
1985,Energy use (kg of oil equivalent per capita),430.383630987235
1986,Energy use (kg of oil equivalent per capita),419.458269956981
1987,Energy use (kg of oil equivalent per capita),427.065051081291
1988,Energy use (kg of oil equivalent per capita),439.741377215025
1989,Energy use (kg of oil equivalent per capita),450.873480337797
1990,Energy use (kg of oil equivalent per capita),424.030763734864
1991,Energy use (kg of oil equivalent per capita),430.62062131618
1992,Energy use (kg of oil equivalent per capita),444.418600618215
1993,Energy use (kg of oil equivalent per capita),410.827080255246
1994,Energy use (kg of oil equivalent per capita),446.176123730806
1995,Energy use (kg of oil equivalent per capita),459.479994263148
1996,Energy use (kg of oil equivalent per capita),463.395880336417
1997,Energy use (kg of oil equivalent per capita),477.495245543937
1998,Energy use (kg of oil equivalent per capita),482.924814401891
1999,Energy use (kg of oil equivalent per capita),483.114784115224
2000,Energy use (kg of oil equivalent per capita),487.402779547692
2001,Energy use (kg of oil equivalent per capita),454.033054960371
2002,Energy use (kg of oil equivalent per capita),451.284468681461
2003,Energy use (kg of oil equivalent per capita),442.568789118581
2004,Energy use (kg of oil equivalent per capita),430.074923261744
2005,Energy use (kg of oil equivalent per capita),434.470089148121
2006,Energy use (kg of oil equivalent per capita),423.356012358413
2007,Energy use (kg of oil equivalent per capita),425.625019287303
2008,Energy use (kg of oil equivalent per capita),439.081886950045
2009,Energy use (kg of oil equivalent per capita),420.717035027758
2010,Energy use (kg of oil equivalent per capita),431.460692039266
2011,Energy use (kg of oil equivalent per capita),428.32978664067
2012,Energy use (kg of oil equivalent per capita),437.466406247307
2013,Energy use (kg of oil equivalent per capita),443.26971934561
2014,Energy use (kg of oil equivalent per capita),465.625886441589
2015,Energy use (kg of oil equivalent per capita),499.070776259238
2016,Energy use (kg of oil equivalent per capita),520.980850770081
2017,Energy use (kg of oil equivalent per capita),544.47519980766
2018,Energy use (kg of oil equivalent per capita),554.498283533215
2019,Energy use (kg of oil equivalent per capita),551.866549795025
2020,Energy use (kg of oil equivalent per capita),518.156775784154
2021,Energy use (kg of oil equivalent per capita),530.987980701231
2022,Energy use (kg of oil equivalent per capita),550.793803994865
2023,Energy use (kg of oil equivalent per capita),550.793803994865
2024,Energy use (kg of oil equivalent per capita),550.793803994865
1960,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1961,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1962,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1963,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1964,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1965,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1966,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1967,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1968,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1969,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1970,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1971,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1972,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1973,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1974,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1975,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1976,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1977,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1978,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1979,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1980,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1981,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1982,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1983,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1984,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1985,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1986,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1987,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1988,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1989,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1990,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",94.1357114641166
1991,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",98.3512428080968
1992,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",103.504373163795
1993,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",95.9168256972163
1994,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",102.004862213031
1995,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",102.623816974433
1996,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",100.047213600222
1997,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",100.341353068743
1998,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",104.604511046844
1999,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",103.878690794862
2000,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",102.81806982163
2001,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",95.0177831050905
2002,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",92.9238168645477
2003,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",88.4539067758124
2004,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",82.2409348771235
2005,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",80.6543319516291
2006,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",75.8896709231132
2007,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",72.8801465797004
2008,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",73.3387558010573
2009,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",70.5273028250273
2010,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",68.7801674699431
2011,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",67.0489671810028
2012,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",65.3173176237704
2013,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",63.1749860098982
2014,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",63.4336443773073
2015,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",64.8837946026223
2016,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",64.0669009057075
2017,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",63.4280707345895
2018,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",61.4996293214642
2019,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",58.3844039820655
2020,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",61.282727941913
2021,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",59.9458762997632
2022,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",58.2412762588087
2023,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",58.2412762588087
2024,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",58.2412762588087
1960,Exports as a capacity to import (constant LCU),583719659982.425
1961,Exports as a capacity to import (constant LCU),583719659982.425
1962,Exports as a capacity to import (constant LCU),583719659982.425
1963,Exports as a capacity to import (constant LCU),583719659982.425
1964,Exports as a capacity to import (constant LCU),583719659982.425
1965,Exports as a capacity to import (constant LCU),583719659982.425
1966,Exports as a capacity to import (constant LCU),583719659982.425
1967,Exports as a capacity to import (constant LCU),583719659982.425
1968,Exports as a capacity to import (constant LCU),583719659982.425
1969,Exports as a capacity to import (constant LCU),583719659982.425
1970,Exports as a capacity to import (constant LCU),583719659982.425
1971,Exports as a capacity to import (constant LCU),583719659982.425
1972,Exports as a capacity to import (constant LCU),583719659982.425
1973,Exports as a capacity to import (constant LCU),583719659982.425
1974,Exports as a capacity to import (constant LCU),583719659982.425
1975,Exports as a capacity to import (constant LCU),583719659982.425
1976,Exports as a capacity to import (constant LCU),583719659982.425
1977,Exports as a capacity to import (constant LCU),583719659982.425
1978,Exports as a capacity to import (constant LCU),583719659982.425
1979,Exports as a capacity to import (constant LCU),583719659982.425
1980,Exports as a capacity to import (constant LCU),583719659982.425
1981,Exports as a capacity to import (constant LCU),583719659982.425
1982,Exports as a capacity to import (constant LCU),536203628872.539
1983,Exports as a capacity to import (constant LCU),516535589221.655
1984,Exports as a capacity to import (constant LCU),543384909490.375
1985,Exports as a capacity to import (constant LCU),532765190423.127
1986,Exports as a capacity to import (constant LCU),625185977815.112
1987,Exports as a capacity to import (constant LCU),686487444040.777
1988,Exports as a capacity to import (constant LCU),857274672230.916
1989,Exports as a capacity to import (constant LCU),870447607579.637
1990,Exports as a capacity to import (constant LCU),860280230723.621
1991,Exports as a capacity to import (constant LCU),932639745385.283
1992,Exports as a capacity to import (constant LCU),964833028726.672
1993,Exports as a capacity to import (constant LCU),987766247452.38
1994,Exports as a capacity to import (constant LCU),1199137435671.14
1995,Exports as a capacity to import (constant LCU),1348295909492.02
1996,Exports as a capacity to import (constant LCU),1560684317677.15
1997,Exports as a capacity to import (constant LCU),1773950169829.5
1998,Exports as a capacity to import (constant LCU),1654621600735.52
1999,Exports as a capacity to import (constant LCU),1864928772334.24
2000,Exports as a capacity to import (constant LCU),2180525758121.92
2001,Exports as a capacity to import (constant LCU),2149212771592.57
2002,Exports as a capacity to import (constant LCU),2232545345791.2
2003,Exports as a capacity to import (constant LCU),2407629315012.71
2004,Exports as a capacity to import (constant LCU),2457285525126.87
2005,Exports as a capacity to import (constant LCU),2670682268773.67
2006,Exports as a capacity to import (constant LCU),2886060524998.0
2007,Exports as a capacity to import (constant LCU),2949373342234.72
2008,Exports as a capacity to import (constant LCU),2815000448569.57
2009,Exports as a capacity to import (constant LCU),2787370787234.36
2010,Exports as a capacity to import (constant LCU),3379062826616.81
2011,Exports as a capacity to import (constant LCU),3107543897639.9
2012,Exports as a capacity to import (constant LCU),3266293041304.84
2013,Exports as a capacity to import (constant LCU),3412786778095.69
2014,Exports as a capacity to import (constant LCU),3858551659676.1
2015,Exports as a capacity to import (constant LCU),4162375607893.64
2016,Exports as a capacity to import (constant LCU),4410443273597.77
2017,Exports as a capacity to import (constant LCU),5114739499630.37
2018,Exports as a capacity to import (constant LCU),5518572505300.0
2019,Exports as a capacity to import (constant LCU),5500627758870.84
2020,Exports as a capacity to import (constant LCU),4702314596454.8
2021,Exports as a capacity to import (constant LCU),4735927791530.93
2022,Exports as a capacity to import (constant LCU),5099574854766.33
2023,Exports as a capacity to import (constant LCU),5221092217228.79
2024,Exports as a capacity to import (constant LCU),5351248846910.93
1960,Exports of goods and services (% of GDP),16.15668467559
1961,Exports of goods and services (% of GDP),16.15668467559
1962,Exports of goods and services (% of GDP),16.15668467559
1963,Exports of goods and services (% of GDP),16.15668467559
1964,Exports of goods and services (% of GDP),16.15668467559
1965,Exports of goods and services (% of GDP),16.15668467559
1966,Exports of goods and services (% of GDP),16.15668467559
1967,Exports of goods and services (% of GDP),16.15668467559
1968,Exports of goods and services (% of GDP),16.15668467559
1969,Exports of goods and services (% of GDP),16.15668467559
1970,Exports of goods and services (% of GDP),16.15668467559
1971,Exports of goods and services (% of GDP),16.15668467559
1972,Exports of goods and services (% of GDP),16.15668467559
1973,Exports of goods and services (% of GDP),16.15668467559
1974,Exports of goods and services (% of GDP),16.15668467559
1975,Exports of goods and services (% of GDP),16.15668467559
1976,Exports of goods and services (% of GDP),16.15668467559
1977,Exports of goods and services (% of GDP),16.15668467559
1978,Exports of goods and services (% of GDP),16.15668467559
1979,Exports of goods and services (% of GDP),16.15668467559
1980,Exports of goods and services (% of GDP),16.15668467559
1981,Exports of goods and services (% of GDP),16.15668467559
1982,Exports of goods and services (% of GDP),13.8711131877609
1983,Exports of goods and services (% of GDP),14.7105725820752
1984,Exports of goods and services (% of GDP),16.9424693534499
1985,Exports of goods and services (% of GDP),17.0221232673719
1986,Exports of goods and services (% of GDP),18.5661232093716
1987,Exports of goods and services (% of GDP),18.5415326150478
1988,Exports of goods and services (% of GDP),19.9993637191705
1989,Exports of goods and services (% of GDP),19.7398895822467
1990,Exports of goods and services (% of GDP),19.3932131437876
1991,Exports of goods and services (% of GDP),20.9651411756089
1992,Exports of goods and services (% of GDP),20.7796645414886
1993,Exports of goods and services (% of GDP),22.3031303689154
1994,Exports of goods and services (% of GDP),24.075665857016
1995,Exports of goods and services (% of GDP),25.9460416626648
1996,Exports of goods and services (% of GDP),28.8867213731659
1997,Exports of goods and services (% of GDP),35.0861457359116
1998,Exports of goods and services (% of GDP),37.8068683988215
1999,Exports of goods and services (% of GDP),38.4111587355426
2000,Exports of goods and services (% of GDP),43.3442192240219
2001,Exports of goods and services (% of GDP),41.1555015074547
2002,Exports of goods and services (% of GDP),40.0056799440289
2003,Exports of goods and services (% of GDP),42.3050183712712
2004,Exports of goods and services (% of GDP),41.8268409907999
2005,Exports of goods and services (% of GDP),41.2300392158954
2006,Exports of goods and services (% of GDP),41.2454593705084
2007,Exports of goods and services (% of GDP),38.0141863378076
2008,Exports of goods and services (% of GDP),33.3568332437392
2009,Exports of goods and services (% of GDP),30.2195255995892
2010,Exports of goods and services (% of GDP),32.8748297195678
2011,Exports of goods and services (% of GDP),29.1054288781405
2012,Exports of goods and services (% of GDP),27.4670738577233
2013,Exports of goods and services (% of GDP),26.1774198090007
2014,Exports of goods and services (% of GDP),27.3545041909285
2015,Exports of goods and services (% of GDP),27.2080572390451
2016,Exports of goods and services (% of GDP),26.6730033435157
2017,Exports of goods and services (% of GDP),29.5522908546692
2018,Exports of goods and services (% of GDP),30.2136053733275
2019,Exports of goods and services (% of GDP),28.3829200126393
2020,Exports of goods and services (% of GDP),25.2028393102032
2021,Exports of goods and services (% of GDP),25.7520349160187
2022,Exports of goods and services (% of GDP),28.3874015457939
2023,Exports of goods and services (% of GDP),26.6368493470555
2024,Exports of goods and services (% of GDP),25.7734411549927
1960,"Exports of goods and services (BoP, current US$)",3884000000.0
1961,"Exports of goods and services (BoP, current US$)",3884000000.0
1962,"Exports of goods and services (BoP, current US$)",3884000000.0
1963,"Exports of goods and services (BoP, current US$)",3884000000.0
1964,"Exports of goods and services (BoP, current US$)",3884000000.0
1965,"Exports of goods and services (BoP, current US$)",3884000000.0
1966,"Exports of goods and services (BoP, current US$)",3884000000.0
1967,"Exports of goods and services (BoP, current US$)",3884000000.0
1968,"Exports of goods and services (BoP, current US$)",3884000000.0
1969,"Exports of goods and services (BoP, current US$)",3884000000.0
1970,"Exports of goods and services (BoP, current US$)",3884000000.0
1971,"Exports of goods and services (BoP, current US$)",3884000000.0
1972,"Exports of goods and services (BoP, current US$)",3884000000.0
1973,"Exports of goods and services (BoP, current US$)",3884000000.0
1974,"Exports of goods and services (BoP, current US$)",3884000000.0
1975,"Exports of goods and services (BoP, current US$)",3884000000.0
1976,"Exports of goods and services (BoP, current US$)",3884000000.0
1977,"Exports of goods and services (BoP, current US$)",3884000000.0
1978,"Exports of goods and services (BoP, current US$)",4438000000.0
1979,"Exports of goods and services (BoP, current US$)",5677000000.0
1980,"Exports of goods and services (BoP, current US$)",7235000000.0
1981,"Exports of goods and services (BoP, current US$)",7513000000.0
1982,"Exports of goods and services (BoP, current US$)",6825000000.0
1983,"Exports of goods and services (BoP, current US$)",6813000000.0
1984,"Exports of goods and services (BoP, current US$)",7033000000.0
1985,"Exports of goods and services (BoP, current US$)",6864000000.0
1986,"Exports of goods and services (BoP, current US$)",7702000000.0
1987,"Exports of goods and services (BoP, current US$)",8065000000.0
1988,"Exports of goods and services (BoP, current US$)",9487000000.0
1989,"Exports of goods and services (BoP, current US$)",11046000000.0
1990,"Exports of goods and services (BoP, current US$)",11430000000.0
1991,"Exports of goods and services (BoP, current US$)",12494000000.0
1992,"Exports of goods and services (BoP, current US$)",14566000000.0
1993,"Exports of goods and services (BoP, current US$)",16048000000.0
1994,"Exports of goods and services (BoP, current US$)",20251000000.0
1995,"Exports of goods and services (BoP, current US$)",26795000000.0
1996,"Exports of goods and services (BoP, current US$)",33490000000.0
1997,"Exports of goods and services (BoP, current US$)",40365000000.0
1998,"Exports of goods and services (BoP, current US$)",36973000000.0
1999,"Exports of goods and services (BoP, current US$)",23579000000.0
2000,"Exports of goods and services (BoP, current US$)",27461000000.0
2001,"Exports of goods and services (BoP, current US$)",24421000000.0
2002,"Exports of goods and services (BoP, current US$)",27044000000.0
2003,"Exports of goods and services (BoP, current US$)",29208000000.0
2004,"Exports of goods and services (BoP, current US$)",32562000000.0
2005,"Exports of goods and services (BoP, current US$)",33772649302.8357
2006,"Exports of goods and services (BoP, current US$)",41798669343.7337
2007,"Exports of goods and services (BoP, current US$)",46304287825.8243
2008,"Exports of goods and services (BoP, current US$)",47733539814.3022
2009,"Exports of goods and services (BoP, current US$)",43226996265.62
2010,"Exports of goods and services (BoP, current US$)",54553954496.6018
2011,"Exports of goods and services (BoP, current US$)",57154673137.0323
2012,"Exports of goods and services (BoP, current US$)",66823490332.2648
2013,"Exports of goods and services (BoP, current US$)",67847557123.5658
2014,"Exports of goods and services (BoP, current US$)",75321793858.9656
2015,"Exports of goods and services (BoP, current US$)",72262154549.0951
2016,"Exports of goods and services (BoP, current US$)",73938028404.7945
2017,"Exports of goods and services (BoP, current US$)",86645909125.5701
2018,"Exports of goods and services (BoP, current US$)",90373832107.3556
2019,"Exports of goods and services (BoP, current US$)",94740948716.8764
2020,"Exports of goods and services (BoP, current US$)",80033714168.1405
2021,"Exports of goods and services (BoP, current US$)",87797928272.3053
2022,"Exports of goods and services (BoP, current US$)",98832118579.7386
2023,"Exports of goods and services (BoP, current US$)",103588452867.836
2024,"Exports of goods and services (BoP, current US$)",106989626346.167
1960,Exports of goods and services (annual % growth),3.30835175652477
1961,Exports of goods and services (annual % growth),3.30835175652477
1962,Exports of goods and services (annual % growth),15.8915859910642
1963,Exports of goods and services (annual % growth),19.0917483825497
1964,Exports of goods and services (annual % growth),5.99712866892752
1965,Exports of goods and services (annual % growth),13.595582175404
1966,Exports of goods and services (annual % growth),6.09822401496645
1967,Exports of goods and services (annual % growth),-14.4205312281691
1968,Exports of goods and services (annual % growth),-11.2752191104839
1969,Exports of goods and services (annual % growth),-4.37162567800732
1970,Exports of goods and services (annual % growth),20.6108366636081
1971,Exports of goods and services (annual % growth),3.41319117598348
1972,Exports of goods and services (annual % growth),12.4886052839842
1973,Exports of goods and services (annual % growth),16.0481752454765
1974,Exports of goods and services (annual % growth),-11.4100989799875
1975,Exports of goods and services (annual % growth),3.53352090891725
1976,Exports of goods and services (annual % growth),12.8286580348397
1977,Exports of goods and services (annual % growth),16.4134304607207
1978,Exports of goods and services (annual % growth),6.05524575161095
1979,Exports of goods and services (annual % growth),4.29415478490603
1980,Exports of goods and services (annual % growth),39.8182113754454
1981,Exports of goods and services (annual % growth),9.47540517176444
1982,Exports of goods and services (annual % growth),-10.5361794146394
1983,Exports of goods and services (annual % growth),5.24979953910577
1984,Exports of goods and services (annual % growth),5.43051171422458
1985,Exports of goods and services (annual % growth),-16.6508868654851
1986,Exports of goods and services (annual % growth),16.6632634559481
1987,Exports of goods and services (annual % growth),6.25072202352197
1988,Exports of goods and services (annual % growth),14.789656731913
1989,Exports of goods and services (annual % growth),8.37958588447241
1990,Exports of goods and services (annual % growth),2.33234117716144
